,,,,,,,,,,,,,,,,
,,Expenses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Average
Entertainment,,Monthly totals:,$62.26,$48.48,$60.05,$55.68,$54.27,$49.28,$43.29,$321.83,$43.29,$35.21,$42.30,$204.15,"$1,020",$85
,,Netflix,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.90,$16.00,$15.99,$192,$16
,,Disney,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$9.99,$9.99,$130,$11
,,Glovo,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$72,$6
,,Spotify,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.33,$2.34,$28,$2
,,Movies,,,$11.57,,,,,$15.75,,,,,$27,$14
,,Games,$26.96,$13.18,$13.18,$13.18,$18.97,$13.98,$7.99,$13.98,$7.99,,$7.99,,$137,$14
,,Surf,,,,,,,,$256.80,,,,,$257,$257
,,Other,,,,$7.20,,,,,,,,$169.84,$177,$89
,,,,,,,,,,,,,,,,
Everyday,,Monthly totals:,$134.33,$122.20,$189.58,$272.13,$277.80,$220.01,$205.22,$169.88,$395.09,$288.01,$218.78,$326.98,"$2,820",$235
,,Groceries,,,$13.46,,$81.46,$60.98,$105.62,$47.56,$178.07,$100.87,$96.53,$144.33,$829,$92
,,Tabaco,$10.20,$5.10,$10.20,,$10.80,$10.60,$10.60,,$21.20,,$10.80,$10.80,$100,$11
,,Restaurants,$35.00,,,$134.62,,$28.60,,$15.20,$28.48,$25.78,$50.35,$94.75,$413,$52
,,Acessories,,,,,,$16.40,,$17.00,,$10.00,,,$43,$14
,,Clothes,,,$25.95,,$86.31,,$34.00,,$99.24,$51.98,,$57.10,$355,$59
,,Hair/beauty,$20.00,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$13.00,$20.00,$20.00,$213,$19
,,Farmacy,$15.33,$82.10,$41.00,$82.51,$5.33,$11.50,,,$13.10,$52.80,$16.95,,$321,$36
,,Utilities,$1.80,,,,,,,,,,,,$2,$2
,,GYM,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,,,,$315,$35
,,Suplements,$7.00,,$43.97,,$38.90,$36.93,,$35.12,,$33.58,$24.15,,$220,$31
,,Other,$10.00,,,,,,,,,,,,$10,$10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gifts,,Monthly totals:,$7.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.49,$88,$7
,,Gifts,$7.50,,,,,,,,,,,$80.49,$88,$44
,,,,,,,,,,,,,,,,
Car,,Monthly totals:,$686.14,$108.40,$128.00,$105.45,$100.10,$114.27,$165.49,$259.68,$136.39,$100.50,$575.40,$106.35,"$2,586",$216
,,Fuel,$65.00,$65.00,$60.00,$65.00,$60.00,$60.00,$65.00,$69.18,$60.00,$60.00,$50.00,$60.00,$739,$62
,,Car payments (IUC),$21.29,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$164,$14
,,Ensurance,$25.00,$25.00,$25.00,$25.00,$25.00,$41.27,$27.50,$27.50,$27.50,$27.50,$27.50,$27.50,$331,$28
,,Repairs,$418.50,,,,,,,,,,$290.00,,$709,$354
,,Maintenance,$150.00,,$30.00,,,,$59.99,$150.00,$35.89,,$190.00,,$616,$103
,,Tolls,$6.35,$5.40,,$2.45,$2.10,,,,,,$4.90,$5.85,$27,$5
