,,,,,,,,,,,,,,,,
,,Income,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Average
Wages,,Monthly totals:,"$1,353.68","$1,604.68","$1,353.68","$1,353.68","$1,479.18","$2,519.10","$1,416.68","$1,604.68","$1,660.18","$1,660.18","$2,608.85","$2,564.53","$21,179","$1,765"
,,Paycheck,"$1,353.68","$1,604.68","$1,353.68","$1,353.68","$1,479.18","$1,262.57","$1,416.68","$1,604.68","$1,660.18","$1,660.18","$2,608.85","$1,430.43","$18,788","$1,566"
,,Bonus,,,,,,"$1,256.53",,,,,,"$1,134.10","$2,391","$1,195"
,,Extra hours,,,,,,,,,,,,,$0,$0
,,Freelance,,,,,,,,,,,,,$0,$0
,,Other,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other,,Monthly totals:,$5.00,$67.84,$13.72,$76.00,$437.16,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$171.80,$802,$67
,,Money loaned return,,$62.84,$0.82,$71.00,$0.20,,,,,,,$11.80,$147,$29
,,Money returned Break,,,$7.90,,,,,,,,,,$8,$8
,,Gifts,,,,,,,,,,,,,$0,$0
,,Netflix Shared,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$60,$5
,,IRS,,,,,$431.96,,,,,,,,$432,$432
,,Sell stuff,,,,,,,,,,,,$155.00,$155,$155
,,Other,,,,,,,,,,,,,$0,$0
